id,years_experience,skills,education_level,location,preferred_work_mode,gender,race,suitability_score
CAND_00000,2.9,43.0,Ensino Médio,Capitais,Híbrido,Masculino,Branca,0.8697433600624457
CAND_00001,12.2,57.0,Mestrado,Região Metropolitana,Híbrido,Masculino,Amarela,0.5261436466057122
CAND_00002,3.7,34.0,Bacharelado,Região Metropolitana,Remoto,Feminino,Branca,0.3356773808093497
CAND_00003,7.7,42.0,Bacharelado,Capitais,Híbrido,Masculino,Parda,0.8823538002719454
CAND_00004,4.7,30.0,Ensino Médio,Capitais,Híbrido,Feminino,Branca,0.3730642340357774
CAND_00005,0.8,48.0,Doutorado,Região Metropolitana,Presencial,Feminino,Branca,0.581978482252108
CAND_00006,0.8,64.0,Bacharelado,Capitais,Presencial,Feminino,Parda,0.4960470920872514
CAND_00007,7.2,42.0,Bacharelado,Região Metropolitana,Presencial,Masculino,Branca,0.9049405340876603
CAND_00008,7.3,40.0,Bacharelado,Região Metropolitana,Remoto,Masculino,Branca,0.8370281727726754
CAND_00009,1.8,79.0,Bacharelado,Capitais,Remoto,Masculino,Branca,1.0
CAND_00010,6.4,64.0,Bacharelado,Região Metropolitana,Presencial,Masculino,Branca,0.9535045376089321
CAND_00011,0.0,58.0,Bacharelado,Região Metropolitana,Remoto,Masculino,Branca,0.6190018340570363
CAND_00012,4.6,56.0,Mestrado,Interior,Híbrido,Masculino,Branca,0.7718014695766856
CAND_00013,6.8,74.0,Mestrado,Interior,Híbrido,Masculino,Branca,0.8215662083543
CAND_00014,0.0,82.0,Bacharelado,Capitais,Híbrido,Não-binário,Branca,0.4057701986851815
CAND_00015,8.1,54.0,Bacharelado,Capitais,Híbrido,Masculino,Branca,1.0
CAND_00016,4.3,67.0,Bacharelado,Região Metropolitana,Remoto,Feminino,Branca,0.5970426792649428
CAND_00017,0.9,77.0,Bacharelado,Capitais,Híbrido,Masculino,Branca,0.9548952743571504
CAND_00018,2.0,50.0,Bacharelado,Região Metropolitana,Remoto,Feminino,Branca,0.37846363471674366
CAND_00019,3.5,50.0,Bacharelado,Região Metropolitana,Híbrido,Feminino,Branca,0.42132082143400873
CAND_00020,10.6,39.0,Bacharelado,Capitais,Presencial,Feminino,Branca,0.5661603014377377
CAND_00021,5.9,24.0,Bacharelado,Região Metropolitana,Presencial,Masculino,Amarela,0.48662914731396817
CAND_00022,2.5,38.0,Mestrado,Região Metropolitana,Remoto,Masculino,Preta,0.3565963487266919
CAND_00023,6.6,58.0,Bacharelado,Capitais,Remoto,Masculino,Amarela,0.6241751453868479
CAND_00024,7.8,54.0,Bacharelado,Capitais,Híbrido,Masculino,Branca,0.7270327952274245
CAND_00025,6.2,56.0,Bacharelado,Capitais,Presencial,Feminino,Parda,0.42665932726825556
CAND_00026,2.2,64.0,Bacharelado,Região Metropolitana,Híbrido,Feminino,Branca,0.4394526107420264
CAND_00027,1.9,56.0,Ensino Médio,Região Metropolitana,Remoto,Não-binário,Parda,0.18151472533292867
CAND_00028,0.0,61.0,Bacharelado,Capitais,Híbrido,Masculino,Branca,0.713262529731382
CAND_00029,6.8,63.0,Bacharelado,Interior,Híbrido,Masculino,Branca,0.7743189053052045
CAND_00030,3.9,26.0,Bacharelado,Capitais,Remoto,Masculino,Preta,0.23089575032494525
CAND_00031,2.0,43.0,Bacharelado,Região Metropolitana,Híbrido,Masculino,Branca,0.6833996846893078
CAND_00032,7.0,39.0,Bacharelado,Capitais,Presencial,Feminino,Preta,0.0
CAND_00033,3.4,42.0,Bacharelado,Região Metropolitana,Presencial,Masculino,Branca,0.7347332230844442
CAND_00034,0.0,68.0,Bacharelado,Capitais,Presencial,Masculino,Branca,0.9619928154604784
CAND_00035,6.4,38.0,Doutorado,Capitais,Híbrido,Masculino,Amarela,0.7093838391723657
CAND_00036,1.6,60.0,Bacharelado,Região Metropolitana,Presencial,Masculino,Parda,0.6215124093931089
CAND_00037,2.9,42.0,Bacharelado,Capitais,Híbrido,Feminino,Parda,0.3200383991809153
CAND_00038,4.0,48.0,Bacharelado,Capitais,Remoto,Masculino,Preta,0.4645214616521057
CAND_00039,4.6,68.0,Mestrado,Região Metropolitana,Remoto,Não-binário,Parda,0.43954770811029886
CAND_00040,0.0,76.0,Bacharelado,Interior,Híbrido,Não-binário,Branca,0.27871653159506815
CAND_00041,2.3,48.0,Mestrado,Capitais,Híbrido,Feminino,Indígena,0.40388531917829057
CAND_00042,2.7,51.0,Bacharelado,Capitais,Remoto,Feminino,Branca,0.42005406221885655
CAND_00043,5.3,65.0,Bacharelado,Região Metropolitana,Remoto,Feminino,Branca,0.7482533844999646
CAND_00044,4.2,49.0,Bacharelado,Capitais,Híbrido,Feminino,Parda,0.38470447514690687
